duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.000000,1.683095,0.040275,-0.007290,0.000354,-0.000004,-0.000000,-0.000000,0.000000,1.786782,-0.068101,0.000808,0.000042,-0.000002,0.000000,0.000000,-0.000000,0.518107,-0.015638,0.001865,-0.000078,0.000001,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.716429,0.026739,-0.006255,0.000335,-0.000005,-0.000000,-0.000000,0.000000,1.719529,-0.066365,0.000926,0.000037,-0.000001,0.000000,0.000000,-0.000000,0.504257,-0.012140,0.001635,-0.000075,0.000001,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.737243,0.015213,-0.005284,0.000311,-0.000006,-0.000000,0.000000,0.000000,1.654127,-0.064405,0.001032,0.000033,-0.000001,0.000000,0.000000,-0.000000,0.493679,-0.009089,0.001417,-0.000071,0.000001,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.747477,0.005553,-0.004390,0.000284,-0.000007,-0.000000,0.000000,-0.000000,1.590787,-0.062243,0.001128,0.000031,-0.000001,0.000000,0.000000,-0.000000,0.485937,-0.006462,0.001212,-0.000066,0.000001,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.748918,-0.002402,-0.003580,0.000256,-0.000007,0.000000,0.000000,-0.000000,1.529702,-0.059896,0.001219,0.000029,-0.000000,0.000000,0.000000,-0.000000,0.480623,-0.004231,0.001021,-0.000061,0.000001,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.743185,-0.008822,-0.002854,0.000228,-0.000007,0.000000,0.000000,-0.000000,1.471054,-0.057372,0.001304,0.000028,-0.000000,0.000000,0.000000,-0.000000,0.477353,-0.002367,0.000845,-0.000056,0.000001,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.731731,-0.013872,-0.002209,0.000203,-0.000006,0.000000,0.000000,-0.000000,1.415014,-0.054680,0.001387,0.000027,-0.000000,0.000000,-0.000000,0.000000,0.475775,-0.000842,0.000683,-0.000051,0.000001,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.715847,-0.017704,-0.001635,0.000180,-0.000005,0.000000,0.000000,-0.000000,1.361749,-0.051824,0.001468,0.000027,-0.000000,0.000000,-0.000000,0.000000,0.475565,0.000374,0.000536,-0.000046,0.000001,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.696683,-0.020456,-0.001126,0.000160,-0.000005,0.000000,0.000000,-0.000000,1.311419,-0.048808,0.001548,0.000027,0.000000,0.000000,-0.000000,-0.000000,0.476431,0.001313,0.000404,-0.000041,0.000001,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.675257,-0.022245,-0.000672,0.000143,-0.000004,0.000000,0.000000,-0.000000,1.264186,-0.045631,0.001629,0.000027,0.000000,0.000000,0.000000,-0.000000,0.478108,0.002002,0.000287,-0.000037,0.000001,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.652480,-0.023174,-0.000265,0.000129,-0.000003,0.000000,0.000000,-0.000000,1.220212,-0.042290,0.001712,0.000028,0.000000,0.000000,0.000000,0.000000,0.480361,0.002470,0.000184,-0.000032,0.000001,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.629167,-0.023329,0.000103,0.000117,-0.000003,0.000000,0.000000,-0.000000,1.179662,-0.038783,0.001796,0.000029,0.000000,0.000000,-0.000000,0.000000,0.482984,0.002745,0.000093,-0.000028,0.000001,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.606056,-0.022782,0.000439,0.000107,-0.000002,0.000000,0.000000,-0.000000,1.142704,-0.035102,0.001885,0.000030,0.000000,0.000000,-0.000000,0.000000,0.485795,0.002852,0.000015,-0.000024,0.000001,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
